,Date,Time,Origin,Destination,NbSegments,Seg1Date,Seg2Date,Flag
0,2013-01-01,20:25:57,TXL,AUH,2,2013-01-26 00:00:00,2013-02-02 00:00:00,0
1,2013-01-01,10:15:33,ATH,MIL,1,2013-01-04 00:00:00,,0
2,2013-01-01,18:04:49,ICT,SFO,2,2013-08-02 00:00:00,2013-08-09 00:00:00,0
3,2013-01-01,17:42:40,RNB,ARN,1,2013-01-02 00:00:00,,0
4,2013-01-01,17:48:29,OSL,MAD,2,2013-03-22 00:00:00,2013-03-31 00:00:00,0
5,2013-01-01,22:00:28,IAH,BLR,2,2013-02-14 00:00:00,2013-02-23 00:00:00,0
6,2013-01-01,10:47:14,CPH,PAR,2,2013-03-02 00:00:00,2013-03-07 00:00:00,0
7,2013-01-01,23:39:49,PAR,DUB,2,2013-02-12 00:00:00,2013-02-17 00:00:00,0
8,2013-01-01,17:08:46,DUS,ACE,2,2013-03-30 00:00:00,2013-04-06 00:00:00,0
9,2013-01-01,19:57:57,FRA,BGW,2,2013-02-26 00:00:00,2013-04-08 00:00:00,0
10,2013-01-01,18:01:31,PAR,BUD,2,2013-03-14 00:00:00,2013-03-17 00:00:00,0
11,2013-01-01,09:32:18,RIO,POA,2,2013-02-01 00:00:00,2013-02-18 00:00:00,0
12,2013-01-01,05:41:14,HKG,MXP,2,2013-05-21 00:00:00,2013-06-03 00:00:00,0
13,2013-01-01,07:05:45,BCN,LON,1,2013-01-30 00:00:00,,0
14,2013-01-01,03:30:49,CLE,SNN,2,2013-06-05 00:00:00,2013-06-23 00:00:00,0
15,2013-01-01,09:19:41,BSB,SLZ,1,2013-04-23 00:00:00,,0
16,2013-01-01,06:20:43,PEK,PHL,1,2013-02-22 00:00:00,,0
17,2013-01-01,18:54:24,BOS,GRU,2,2013-01-04 00:00:00,2013-02-04 00:00:00,0
18,2013-01-01,10:47:24,TBS,IKT,1,2013-04-02 00:00:00,,0
19,2013-01-01,19:02:13,LON,HKG,2,2013-01-05 00:00:00,2013-01-11 00:00:00,0
